"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"6368",6368,0.138227,7.45252,5.55841,27.5998,3,2,-1.154366776,18554524.8,258.516,46.9341,91.9814,0.221583,0.207997,-0.57042,5.28997215277895,1242.8759665441,487.368918309862,-2478.57
"6420",6420,0.128254,6.84696,3.92143,32.395,3,2,-1.158691738,18279419.22,63.5425,68.5011,87.3921,0.27323,0.575826,-0.150945,5.48801002314797,1529.97792847486,1103.90239189421,-2484.39
"6433",6433,0.150399,7.35173,4.13213,19.7964,3,2,-1.159908134,18202783.3,35.4168,66.5068,-51.1193,0.180704,0.475147,0.344149,5.57719409722145,1931.25725356293,1109.14205314282,-2435.86
"6469",6469,0.189918,3.62345,2.71528,21.1381,3,2,-1.163016701,18008392.53,64.0421,67.9761,74.829,0.702957,0.131069,-0.165974,5.32545803240604,1212.61920971791,478.091677340698,-2479.77
"6492",6492,0.186467,3.22583,1.72954,17.4679,3,2,-1.164368252,17924523.61,260.749,86.486,32.6221,0.274492,-0.59078,-0.134729,5.36493541666755,1456.13323484717,1700.83486550408,-2182.95
"6496",6496,0.276798,3.0503,2.41269,14.5657,3,2,-1.16459351,17910583.51,58.6727,73.9402,-111.374,0.417579,-0.451097,0.131324,5.53614256944369,1312.5297288837,920.627385278505,-2404.86
"6595",6595,0.234843,3.63721,2.74165,15.1414,3,2,-1.172162195,17448444.14,56.2127,64.2479,-87.8329,0.408348,-0.472867,0.118786,5.3307208796287,1251.42162671587,477.844189967299,-2480.03
"6683",6683,0.159765,4.27106,3.8728,14.2034,3,2,-1.179190259,17029998.57,44.1614,78.8797,98.5057,0.381393,-0.388291,-0.230316,5.42453692129641,1164.38864312497,944.909432144428,-2449.98
"6728",6728,0.203783,4.19949,3.11906,18.7014,3,2,-1.182298826,16848132.18,84.01,79.366,142.217,0.104216,0.829547,-0.0662378,5.28861078703569,1320.8496820943,708.276147820333,-2527.77
"6751",6751,0.124436,5.3837,5.18716,35.852,3,2,-1.184506359,16720161.25,84.6525,60.1166,68.0864,0.209602,-0.38118,-0.409219,5.33513472222344,1408.26637739093,1011.42696705065,-2317.39
"6754",6754,0.108278,1.12952,1.152,2.41132,3,2,-1.184641514,16712357.95,56.3695,61.1632,103.167,0.580259,0.180488,-0.239253,5.29973773148049,1234.61068516986,478.5725099519,-2428.93
"6817",6817,0.147787,2.76088,2.04054,15.0446,3,2,-1.189507097,16433851.36,263.946,83.269,41.2716,0.266384,-0.4708,-0.262816,5.35750877314696,1469.92332137479,1778.63782463806,-2275.04
"6827",6827,0.190978,6.30234,6.10277,53.1397,3,2,-1.190272975,16390437.18,71.7523,67.7084,67.1082,0.721443,-0.0547673,-0.22379,5.38483050925864,1213.5742097179,476.74110338865,-2481.17
"6861",6861,0.112613,7.93061,4.22743,54.6376,3,2,-1.193651852,16200268.85,84.0928,71.3693,136.505,0.279261,0.57848,-0.142259,5.477473796297,1565.22705550958,960.161725414627,-2422.93
"6941",6941,0.141071,6.22889,4.97844,42.4521,3,2,-1.199688779,15865977.41,54.354,73.3903,-109.429,0.45031,-0.38983,0.15986,5.50248050925908,1300.57318485101,976.799947975925,-2441.63
